PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID,x2,y2
0000XX 43 ST W,3734352,MP 2018 016450,05,1/16/2018 8:20:00 PM,1/16/2018 6:22:00 PM,18:22:00,TFMV,Theft From Motr Vehc,07,1/16/2018 8:19:01 PM,13576,44.92506394,-93.27857943,-10383723.9645,5609732.0419,KING FIELD,1/17/2018 7:59:20 AM,1/17/2018 8:00:32 PM,218,-10383723.9645,5609732.0419
43 ST W / Bryant AV S,3734357,MP 2018 016482,05,1/16/2018 8:35:00 PM,1/16/2018 4:20:00 PM,16:20:00,TFMV,Theft From Motr Vehc,07,1/16/2018 8:33:08 PM,,44.92501,-93.29084,-10385088.75,5609722.827,EAST HARRIET,1/17/2018 8:00:47 AM,1/17/2018 8:00:32 PM,221,-10385088.75,5609722.827
0033XX 4 AV S,3734359,MP 2018 016342,03,1/16/2018 5:41:00 PM,1/15/2018 12:00:00 PM,12:00:00,AUTOTH,Motor Vehicle Theft,08,1/16/2018 8:51:48 PM,11912,44.94226899,-93.27022217,-10382793.6383,5612437.4951,CENTRAL,1/17/2018 4:59:35 AM,1/17/2018 8:00:32 PM,223,-10382793.6383,5612437.4951
0024XX Nicollet AV S,3734364,MP 2018 016510,05,1/16/2018 9:33:00 PM,1/16/2018 8:18:00 PM,20:18:00,AUTOTH,Motor Vehicle Theft,08,1/16/2018 9:31:26 PM,16207,44.95823635,-93.27785114,-10383642.8907,5614949.0485,WHITTIER,1/17/2018 8:03:49 AM,1/17/2018 8:00:32 PM,225,-10383642.8907,5614949.0485
0038XX 50 ST W,3734368,MP 2018 016507,05,1/16/2018 9:47:00 PM,1/16/2018 6:30:00 PM,18:30:00,TFMV,Theft From Motr Vehc,07,1/16/2018 9:46:46 PM,21979,44.91252396,-93.32840887,-10389270.9523,5607760.6709,FULTON,1/17/2018 8:02:49 AM,1/17/2018 8:00:32 PM,227,-10389270.9523,5607760.6709
0047XX Cedar AV S,3734369,MP 2018 016533,03,1/16/2018 9:50:00 PM,1/16/2018 5:30:00 PM,17:30:00,TFMV,Theft From Motr Vehc,07,1/16/2018 9:48:01 PM,13251,44.91708716,-93.24730493,-10380242.5022,5608477.9879,NORTHROP,1/17/2018 11:37:21 AM,1/17/2018 8:00:32 PM,228,-10380242.5022,5608477.9879
0041XX Lake ST E,3734380,MP 2018 016573,03,1/16/2018 11:00:00 PM,1/16/2018 6:01:00 PM,18:01:00,TFMV,Theft From Motr Vehc,07,1/16/2018 10:59:26 PM,14490,44.94834635,-93.21335593,-10376463.3174,5613393.339,COOPER,1/17/2018 10:07:32 AM,1/17/2018 8:00:32 PM,232,-10376463.3174,5613393.339
0004XX Girard TE ,3734390,MP 2018 016741,04,1/17/2018 2:02:00 AM,1/16/2018 12:00:00 PM,12:00:00,TFMV,Theft From Motr Vehc,07,1/17/2018 1:53:27 AM,24769,44.98269869,-93.29581122,-10385642.1985,5618798.1601,HARRISON,1/17/2018 6:06:40 AM,1/17/2018 8:00:32 PM,233,-10385642.1985,5618798.1601
0012XX 36 AV NE,3734413,MP 2018 016857,02,1/17/2018 9:12:00 AM,1/16/2018 6:00:00 PM,18:00:00,AUTOTH,Motor Vehicle Theft,08,1/17/2018 9:09:15 AM,11934,45.03342659,-93.24157029,-10379604.1252,5626785.3552,WAITE PARK,1/17/2018 11:07:41 AM,1/17/2018 8:00:32 PM,240,-10379604.1252,5626785.3552
0040XX HIAWATHA AV ,3734415,MP 2018 999745,03,1/17/2018 9:29:37 AM,1/15/2018 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,1/17/2018 9:29:37 AM,18422,44.92961535,-93.22545685,-10377810.3852,5610447.6609,HIAWATHA,1/17/2018 9:29:42 AM,1/17/2018 8:00:32 PM,241,-10377810.3852,5610447.6609
0041XX 41 ST E,3734424,MP 2018 016868,03,1/17/2018 10:18:00 AM,1/16/2018 6:30:00 PM,18:30:00,AUTOTH,Motor Vehicle Theft,08,1/17/2018 10:18:13 AM,12496,44.92881462,-93.2134006,-10376468.2902,5610321.7579,HIAWATHA,1/17/2018 2:02:09 PM,1/17/2018 8:00:32 PM,245,-10376468.2902,5610321.7579
